ebn0_db,mode,theoretical_uncoded_ber,ber,bit_errors,total_bits,fer,frame_errors,frames,decoder_convergence,mean_iterations,mean_acquisition_score,zero_error_upper_bound
0,uncoded,0.07864960352514258,0.08439814814814815,3646,43200,1.0,150,150,,,0.8190810108162452,
0,ldpc,0.07864960352514258,0.1947685185185185,4207,21600,0.9933333333333333,149,150,0.006666666666666667,49.72666666666667,0.7166819995505773,
2,uncoded,0.03750612835892598,0.04145833333333333,1791,43200,1.0,150,150,,,0.8726212564035548,
2,ldpc,0.03750612835892598,0.04791666666666667,1035,21600,0.32,48,150,0.68,22.76,0.7845284922163887,
4,uncoded,0.012500818040737554,0.013587962962962963,587,43200,0.9733333333333334,146,150,,,0.9141488051330225,
4,ldpc,0.012500818040737554,0.0,0,21600,0.0,0,150,1.0,3.1066666666666665,0.8471514635385339,2.3148148148148147e-05
6,uncoded,0.0023882907809328066,0.002824074074074074,122,43200,0.5533333333333333,83,150,,,0.9430858102109945,
6,ldpc,0.0023882907809328066,0.0,0,21600,0.0,0,150,1.0,1.34,0.8945760942443669,2.3148148148148147e-05
8,uncoded,0.00019090777407599314,0.0002546296296296296,11,43200,0.06666666666666667,10,150,,,0.9624665723010537,
8,ldpc,0.00019090777407599314,0.0,0,21600,0.0,0,150,1.0,1.02,0.9296651055874052,2.3148148148148147e-05
